C,gamma,False_Negatives_Bad,False_Negatives_Extreme,False_Positives,Overall_Correctness,Bad_Days,Extreme_Days
1000,0.0001,0.251212446,0.33157119,3.099870043,0.618623124,135.2,15.9
1000,0.001,0.257701971,0.371707875,2.38134475,0.691615181,135.2,12.8
1000,0.01,0.363103402,0.69467841,2.108924171,0.724183583,135.2,12.6
1000,0.1,0.501264734,0.864292668,1.597682388,0.75913504,135.2,13.8
1000,1,0.780458833,0.97697479,0.719611945,0.825419241,135.2,13.5
1000,10,0.963396999,1,0.065506849,0.881112092,135.2,13.4
1000,100,1,1,0.000675676,0.881465137,135.2,15.2
1000,1000,1,1,0,0.889143866,135.2,15
1000,10000,1,1,0,0.885260371,135.2,14.7
1000,100000,1,1,0,0.887466902,135.2,15.2
10000,1.00E-05,0.262630388,0.418800644,3.214976082,0.611120918,135.2,12.4
10000,0.0001,0.242541468,0.359097358,2.709882738,0.6548985,135.2,14.2
10000,0.001,0.317330408,0.483246614,2.179486338,0.696910856,135.2,14.3
10000,0.01,0.391274176,0.842637363,2.010767198,0.72180053,135.2,14.3
10000,0.1,0.561545509,0.866655043,1.396852452,0.769638129,135.2,13.9
10000,1,0.781261495,0.934774115,0.695464297,0.829037952,135.2,13.9
10000,10,0.973953535,1,0.061309666,0.879964695,135.2,13.3
10000,100,1,1,0.001637263,0.88870256,135.2,13.4
10000,1000,1,1,0,0.881023831,135.2,13
10000,10000,1,1,0,0.884642542,135.2,13.9
10000,100000,1,1,0,0.887643425,135.2,15.2
100000,1.00E-05,0.227425778,0.339826938,3.218823856,0.618446602,135.2,13
100000,0.0001,0.271505374,0.466130316,2.357394652,0.700088261,135.2,15.3
100000,0.001,0.318042937,0.666408591,2.150083218,0.713415711,135.2,13.3
100000,0.01,0.406560872,0.787129646,1.701936837,0.742453663,135.2,14.3
100000,0.1,0.605554991,0.867418976,1.418813645,0.775816417,135.2,14.5
100000,1,0.785395255,0.933780345,0.690130816,0.826125331,135.2,14.7
100000,10,0.969716723,1,0.072605883,0.876963813,135.2,13.1
100000,100,1,1,0.001491627,0.880141218,135.2,14.8
100000,1000,1,1,0,0.886054722,135.2,14.3
100000,10000,1,1,0,0.886849073,135.2,14
100000,100000,1,1,0,0.881553398,135.2,15.2
