,Bad_Days,C,Extreme_Days,False_Negatives_Bad,False_Negatives_Extreme,False_Positives,Overall_Correctness,gamma
70,135.2,10.0,14.5,0.3918753921974033,0.7930662393162393,1.8543768906797287,0.7318623124448367,0.1
71,135.2,10.0,12.6,0.6717989012715231,0.9407925407925408,0.9159528363142991,0.810856134157105,1.0
72,135.2,10.0,13.3,0.9705599897584181,1.0,0.07023919806273782,0.8787290379523389,10.0
73,135.2,10.0,13.9,1.0,1.0,0.0007194244604316547,0.8831421006178288,100.0
74,135.2,10.0,15.0,1.0,1.0,0.0,0.8861429832303619,1000.0
75,135.2,10.0,13.0,1.0,1.0,0.0,0.8799646954986761,10000.0
76,135.2,10.0,14.6,1.0,1.0,0.0,0.8820829655781113,100000.0
77,135.2,100.0,13.6,0.22338433522769438,0.31592525938114174,3.344642824711733,0.583848190644307,1e-05
78,135.2,100.0,14.5,0.2560399397617653,0.2689944450973863,3.080594647477393,0.611297440423654,0.0001
79,135.2,100.0,14.0,0.24229783739792343,0.4317857142857142,2.907083692809457,0.6486319505736982,0.001
80,135.2,100.0,15.9,0.31194765344038067,0.6448326510091216,2.2049473982155687,0.6999117387466902,0.01
81,135.2,100.0,14.0,0.4474828320877906,0.8355387667887667,1.7516445773603901,0.7452780229479259,0.1
82,135.2,100.0,13.6,0.7469950028781639,0.9583697838109604,0.75646180712719,0.82603706972639,1.0
83,135.2,100.0,14.7,0.9656295358807805,1.0,0.05966405460880736,0.8833186231244483,10.0
84,135.2,100.0,12.1,1.0,1.0,0.0,0.8901147396293027,100.0
85,135.2,100.0,12.8,1.0,1.0,0.0,0.8854368932038836,1000.0
86,135.2,100.0,13.4,1.0,1.0,0.0,0.886054721977052,10000.0
87,135.2,100.0,13.8,1.0,1.0,0.0,0.8805825242718447,100000.0
88,135.2,1000.0,13.5,0.23326607317874531,0.3945924908424909,3.1366364926348416,0.6057369814651368,1e-05
89,135.2,1000.0,15.9,0.2512124455897382,0.33157118998992063,3.099870043084487,0.6186231244483673,0.0001
90,135.2,1000.0,12.8,0.2577019708613213,0.3717078754578755,2.381344750362869,0.6916151809355693,0.001
91,135.2,1000.0,12.6,0.3631034015478535,0.6946784098254687,2.1089241714607416,0.7241835834068843,0.01
92,135.2,1000.0,13.8,0.50126473354805,0.8642926681161975,1.5976823881749806,0.759135039717564,0.1
93,135.2,1000.0,13.5,0.7804588334137359,0.9769747899159664,0.7196119451477448,0.8254192409532216,1.0
94,135.2,1000.0,13.4,0.96339699916948,1.0,0.06550684881754001,0.8811120917917034,10.0
95,135.2,1000.0,15.2,1.0,1.0,0.0006756756756756757,0.8814651368049425,100.0
96,135.2,1000.0,15.0,1.0,1.0,0.0,0.889143865842895,1000.0
97,135.2,1000.0,14.7,1.0,1.0,0.0,0.8852603706972639,10000.0
98,135.2,1000.0,15.2,1.0,1.0,0.0,0.8874669020300088,100000.0
99,135.2,10000.0,12.4,0.2626303880127753,0.4188006438006438,3.214976082295839,0.6111209179170344,1e-05
100,135.2,10000.0,14.2,0.24254146824045392,0.3590973581801755,2.709882737974293,0.6548984995586938,0.0001
101,135.2,10000.0,14.3,0.31733040823211767,0.4832466144966145,2.1794863384021212,0.696910856134157,0.001
102,135.2,10000.0,14.3,0.39127417558665556,0.8426373626373624,2.0107671978232866,0.7218005295675198,0.01
103,135.2,10000.0,13.9,0.561545509498999,0.8666550425838351,1.396852452115468,0.7696381288614298,0.1
104,135.2,10000.0,13.9,0.7812614948115645,0.9347741147741149,0.6954642970312601,0.8290379523389232,1.0
105,135.2,10000.0,13.3,0.973953534607259,1.0,0.06130966562202043,0.8799646954986761,10.0
106,135.2,10000.0,13.4,1.0,1.0,0.0016372627639668538,0.8887025595763459,100.0
107,135.2,10000.0,13.0,1.0,1.0,0.0,0.8810238305383935,1000.0
108,135.2,10000.0,13.9,1.0,1.0,0.0,0.8846425419240953,10000.0
109,135.2,10000.0,15.2,1.0,1.0,0.0,0.8876434245366285,100000.0
110,135.2,100000.0,13.0,0.22742577784414278,0.33982693776811423,3.2188238557683007,0.6184466019417475,1e-05
111,135.2,100000.0,15.3,0.27150537446921125,0.4661303157626687,2.3573946518077418,0.7000882612533099,0.0001
112,135.2,100000.0,13.3,0.3180429368784913,0.6664085914085913,2.1500832175960096,0.7134157105030892,0.001
113,135.2,100000.0,14.3,0.40656087212128533,0.7871296457166023,1.7019368371214996,0.7424536628420123,0.01
114,135.2,100000.0,14.5,0.6055549910497231,0.8674189759515848,1.4188136449017699,0.7758164165931156,0.1
115,135.2,100000.0,14.7,0.7853952546330503,0.9337803454715219,0.6901308160879903,0.8261253309796999,1.0
116,135.2,100000.0,13.1,0.9697167229652038,1.0,0.07260588338886234,0.876963812886143,10.0
117,135.2,100000.0,14.8,1.0,1.0,0.0014916269269158258,0.8801412180052957,100.0
118,135.2,100000.0,14.3,1.0,1.0,0.0,0.886054721977052,1000.0
119,135.2,100000.0,14.0,1.0,1.0,0.0,0.8868490732568401,10000.0
120,135.2,100000.0,15.2,1.0,1.0,0.0,0.8815533980582524,100000.0
