,Method,Overall_Correctness,over_predict_bad,over_predict_extreme,over_predict_normal,right_predict_bad,right_predict_extreme,right_predict_normal,under_predict_bad,under_predict_extreme,under_predict_normal
0,DecisionTree,0.45936395759717313,0.35833333333333334,0.0,0.5438247011952191,0.48333333333333334,0.4444444444444444,0.45617529880478086,0.15833333333333333,0.5555555555555556,0.0
1,RandomForest,0.8542402826855123,0.025,0.0,0.08764940239043825,0.4083333333333333,0.2222222222222222,0.9123505976095617,0.5666666666666667,0.7777777777777778,0.0
2,ExtraTrees,0.7402826855123675,0.075,0.0,0.2350597609561753,0.5666666666666667,0.2222222222222222,0.7649402390438247,0.35833333333333334,0.7777777777777778,0.0
3,AdaBoost,0.892226148409894,0.016666666666666666,0.0,0.00398406374501992,0.08333333333333333,0.0,0.9960159362549801,0.9,1.0,0.0
4,GradientBoost,0.8825088339222615,0.016666666666666666,0.0,0.018924302788844622,0.10833333333333334,0.1111111111111111,0.9810756972111554,0.875,0.8888888888888888,0.0
5,Bagging,0.8869257950530035,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
