,Method,Overall_Correctness,over_predict_bad,over_predict_extreme,over_predict_normal,right_predict_bad,right_predict_extreme,right_predict_normal,under_predict_bad,under_predict_extreme,under_predict_normal
0,DecisionTree,0.622791519434629,0.24166666666666667,0.0,0.3555776892430279,0.44166666666666665,0.5555555555555556,0.6444223107569721,0.31666666666666665,0.4444444444444444,0.0
1,RandomForest,0.8312720848056537,0.041666666666666664,0.0,0.11354581673306773,0.4083333333333333,0.2222222222222222,0.8864541832669323,0.55,0.7777777777777778,0.0
2,ExtraTrees,0.7544169611307421,0.1,0.0,0.22310756972111553,0.5916666666666667,0.3333333333333333,0.7768924302788844,0.30833333333333335,0.6666666666666666,0.0
3,AdaBoost,0.8869257950530035,0.016666666666666666,0.0,0.022908366533864542,0.18333333333333332,0.1111111111111111,0.9770916334661355,0.8,0.8888888888888888,0.0
4,GradientBoost,0.877208480565371,0.025,0.0,0.030876494023904383,0.15833333333333333,0.1111111111111111,0.9691235059760956,0.8166666666666667,0.8888888888888888,0.0
5,Bagging,0.8869257950530035,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
