Total_outages,Day_length_hr,Avg_Temp_F,Avg_humidity_percent,Max_windspeed_mph,Avg_windspeed_mph,Max_windgust_mph,Precipitation_in
3,14.533333,66,74,12,7,9,0
1,14.483333,65,69,12,4,20,0
0,14.433333,70,57,16,9,9,0
2,14.383333,78,48,16,10,9,0
0,14.333333,72,52,12,4,9,0
1,14.266667,68,67,8,6,22,0
0,14.216667,68,67,17,7,17,0
2,14.166667,65,60,13,6,9,0
0,14.116667,62,75,8,6,9,0
0,14.066667,60,86,12,6,9,0
0,14.016667,60,82,8,5,9,0
0,13.966667,60,76,9,5,9,0
2,13.9,63,79,12,3,9,0
1,13.85,68,64,9,4,9,0
0,13.8,64,79,8,6,9,0
1,13.75,62,87,8,3,9,0.01
0,13.7,66,85,7,3,9,0
1,13.633333,70,62,13,9,9,0
1,13.583333,72,59,12,6,9,0
1,13.533333,66,76,14,6,9,0
1,13.483333,62,68,9,6,9,0
0,13.416667,64,71,9,2,9,0
0,13.366667,62,78,9,5,22,0
3,13.316667,62,83,16,8,9,0.08
2,13.25,57,77,9,5,9,0
0,13.2,58,64,8,5,9,0
0,13.15,58,66,9,4,9,0
0,13.083333,57,74,10,4,9,0
0,13.033333,60,72,13,7,9,0
0,12.966667,54,80,9,6,9,0.01
2,12.916667,64,69,8,5,9,0
0,12.866667,64,67,12,4,9,0
1,12.8,65,75,12,7,9,0
2,12.75,67,66,10,4,9,0
0,12.7,68,63,12,7,9,0
0,12.633333,65,75,10,5,9,0
0,12.583333,60,81,9,7,22,0
0,12.516667,60,82,14,9,9,0.13
0,12.466667,58,75,13,5,9,0.05
0,12.416667,58,65,13,7,23,0
2,12.35,60,83,16,7,9,0
0,12.3,57,65,12,6,9,0
0,12.233333,58,64,17,10,9,0
0,12.183333,64,60,16,11,9,0
1,12.133333,62,67,10,4,9,0
0,12.066667,62,74,12,7,9,0
0,12.016667,64,67,12,7,9,0
1,11.95,60,70,15,4,9,0
0,11.9,60,77,8,4,9,0
1,11.833333,61,69,7,3,25,0
1,11.783333,54,78,17,10,9,0.15
1,11.733333,50,72,14,9,9,0
0,11.666667,51,73,7,5,9,0
1,11.616667,52,69,8,5,9,0
1,11.55,54,97,14,9,9,0.45
0,11.5,56,87,13,4,9,0.01
1,11.45,55,88,10,6,9,0.02
0,11.383333,58,85,13,2,9,0
1,11.333333,56,90,8,4,9,0
0,11.283333,54,91,7,3,9,0.01
0,11.216667,54,90,10,4,9,0.02
1,11.166667,50,81,12,6,9,0.03
0,11.1,48,71,8,6,9,0
0,11.05,50,73,14,6,9,0
1,11,48,90,14,4,9,0
1,10.933333,53,72,16,10,9,0
1,10.883333,56,71,15,10,9,0
0,10.833333,60,71,14,10,9,0
1,10.766667,54,79,6,2,9,0
0,10.716667,50,92,13,8,9,0
0,10.666667,54,90,7,2,9,0.03
0,10.6,54,97,6,1,9,0.01
1,10.55,55,89,10,7,9,0
0,10.5,55,84,12,8,9,0
0,10.45,48,93,14,6,9,0.01
0,10.383333,44,96,6,2,9,0
0,10.333333,45,91,7,3,9,0
1,10.283333,44,89,8,4,9,0
1,10.233333,44,87,13,5,9,0
0,10.183333,48,87,9,3,9,0
0,10.133333,46,64,14,8,9,0.06
0,10.066667,42,32,15,10,17,0
0,10.016667,46,25,16,10,9,0
0,9.966667,44,38,9,7,9,0
0,9.916667,42,62,6,3,9,0
1,9.866667,40,60,7,4,9,0
1,9.816667,40,76,8,3,9,0
1,9.766667,52,69,8,3,9,0
4,9.716667,49,89,14,6,26,0.6
0,9.666667,52,83,17,7,24,0.29
2,9.616667,50,85,17,10,22,0.17
0,9.583333,49,86,14,10,9,0.47
1,9.533333,48,86,14,5,9,0.09
1,9.483333,50,83,10,7,25,0.11
2,9.433333,52,90,17,10,9,0.61
1,9.383333,50,86,14,9,20,0.17
0,9.35,49,88,17,10,9,0.08
0,9.3,46,85,9,3,39,0.01
1,9.266667,48,87,26,9,21,0.42
1,9.216667,48,85,16,10,23,0
0,9.183333,50,83,16,10,24,0.23
0,9.133333,53,95,20,13,9,0.24
1,9.1,55,95,14,4,9,0.01
0,9.05,52,97,9,2,9,0.01
0,9.016667,50,97,9,5,9,0
1,8.983333,47,91,12,6,9,0
0,8.95,43,93,12,3,9,0
0,8.9,38,89,10,5,9,0
0,8.866667,40,81,14,6,9,0
0,8.833333,42,89,6,2,9,0
0,8.8,44,90,6,3,9,0
0,8.783333,40,100,6,2,9,0
0,8.75,40,100,6,2,9,0
0,8.716667,42,92,10,6,9,0
0,8.683333,44,92,10,3,9,0
0,8.666667,40,92,12,6,9,0
0,8.633333,44,74,15,7,9,0.13
0,8.616667,44,84,9,5,9,0
0,8.6,44,88,10,7,9,0
0,8.566667,38,99,6,2,9,0
0,8.55,39,92,12,4,9,0
2,8.533333,40,82,14,6,33,0.07
3,8.516667,44,86,23,14,25,0.38
0,8.5,47,94,20,10,24,0.54
0,8.483333,50,83,20,14,9,0.61
2,8.466667,48,85,15,9,26,0.19
0,8.466667,52,90,17,10,31,1.31
2,8.45,48,79,20,11,28,0.29
3,8.45,44,90,18,8,20,0.73
0,8.433333,40,94,16,8,26,0.35
0,8.433333,40,87,18,9,36,0.08
0,8.433333,44,54,29,12,18,0.03
0,8.416667,46,51,15,11,9,0
1,8.416667,42,77,13,8,9,0
0,8.416667,40,90,9,4,9,0
1,8.416667,38,73,14,5,9,0
1,8.433333,38,80,15,9,36,0.15
6,8.433333,46,71,23,15,9,0.21
0,8.433333,42,88,14,9,48,0
20,8.45,44,85,32,14,9,0.19
1,8.45,38,95,14,8,9,0.06
0,8.466667,38,91,13,6,9,0.16
1,8.483333,41,92,14,7,9,0.16
0,8.5,42,91,10,6,9,0.09
2,8.516667,43,89,10,8,36,0.95
1,8.533333,50,84,24,11,31,0.78
1,8.55,50,67,25,14,23,0.02
0,8.566667,50,87,18,13,9,0.57
0,8.583333,46,81,12,6,22,0
1,8.6,46,81,17,4,9,0
1,8.633333,44,74,8,3,9,0
0,8.65,44,88,17,10,24,0
0,8.683333,47,56,15,10,9,0
0,8.716667,44,38,13,8,9,0
0,8.733333,42,72,16,7,9,0.24
0,8.766667,45,98,10,5,9,0.44
0,8.8,45,99,12,2,9,0.41
1,8.833333,44,93,12,6,9,0
1,8.866667,38,97,8,2,9,0
0,8.9,42,89,12,5,9,0
0,8.933333,44,78,14,10,9,0
0,8.966667,42,85,12,8,9,0
1,9,44,86,10,7,9,0
0,9.05,42,95,9,3,9,0
2,9.083333,42,98,12,4,31,0.55
0,9.116667,47,91,21,9,32,0.81
0,9.166667,50,84,24,14,9,0.76
3,9.2,48,96,14,6,9,0.42
1,9.25,50,97,10,6,31,0.46
1,9.283333,52,75,22,13,9,0.72
1,9.333333,48,92,14,7,9,0.14
0,9.383333,46,91,7,4,9,0.01
1,9.433333,44,96,13,7,24,0.41
0,9.466667,51,99,16,7,25,0.52
0,9.516667,50,94,20,14,21,0.11
1,9.566667,45,91,15,9,9,0.01
1,9.616667,46,93,10,4,9,0.01
0,9.666667,42,89,10,5,9,0.07
0,9.716667,40,90,8,4,9,0
0,9.766667,39,92,13,4,9,0
0,9.816667,37,97,10,4,9,0
0,9.866667,36,96,10,4,9,0
0,9.916667,36,97,8,5,9,0
0,9.966667,36,98,13,4,9,0.01
1,10.016667,38,95,10,4,9,0
1,10.066667,40,88,17,8,9,0
0,10.116667,40,91,9,2,9,0
2,10.183333,42,86,12,6,9,0
0,10.233333,46,85,10,6,20,0
0,10.283333,45,88,14,5,22,0.33
0,10.333333,45,92,16,8,23,0.71
1,10.383333,44,88,17,11,9,0.04
0,10.45,42,90,10,3,23,0.01
0,10.5,44,90,16,8,31,0.05
0,10.55,46,89,23,16,25,0.04
0,10.616667,46,95,18,13,9,0.38
0,10.666667,44,84,12,6,26,0.01
0,10.716667,40,67,21,7,20,0
0,10.783333,38,35,16,11,9,0
0,10.833333,37,50,8,5,9,0
0,10.883333,40,56,8,2,9,0
0,10.95,41,64,9,4,9,0
0,11,42,90,12,7,9,0.07
0,11.066667,43,84,9,5,9,0
1,11.116667,40,96,12,5,9,0.23
0,11.166667,42,84,10,6,9,0
0,11.233333,42,82,12,6,36,0
0,11.283333,44,83,28,17,32,0
0,11.35,42,82,23,16,21,0
0,11.4,40,89,15,9,9,0.32
2,11.466667,40,92,9,3,20,0.13
0,11.516667,47,95,15,11,20,0.83
0,11.566667,50,93,15,11,26,0.08
0,11.633333,47,96,20,11,24,0.87
1,11.683333,50,95,17,9,31,0.98
2,11.75,54,77,22,15,30,0.22
0,11.8,52,70,22,11,23,0.06
1,11.866667,50,75,16,10,9,0.09
0,11.916667,47,87,13,7,17,0.11
0,11.983333,45,80,14,9,9,0
0,12.033333,45,82,14,8,9,0.12
1,12.1,46,86,9,6,26,0.24
1,12.15,47,89,20,8,22,0.1
0,12.216667,46,93,16,10,25,0.82
3,12.266667,46,84,20,13,25,0.55
0,12.316667,44,83,21,11,9,0.04
0,12.383333,42,77,10,5,9,0.02
1,12.433333,49,82,14,7,26,0.05
1,12.5,46,80,21,13,9,0.12
0,12.55,48,75,15,10,9,0
1,12.616667,48,77,7,3,9,0
1,12.666667,54,66,9,4,18,0
0,12.733333,56,79,14,7,25,0.18
1,12.783333,50,84,16,10,26,0.09
0,12.833333,42,85,17,7,29,0.17
0,12.9,42,82,24,8,32,0.11
0,12.95,42,90,21,12,9,0.25
0,13.016667,42,82,10,3,20,0
0,13.066667,41,87,16,10,9,0.16
1,13.133333,45,83,13,9,22,0
0,13.183333,48,85,15,9,26,0.24
1,13.233333,56,80,18,8,22,0.29
2,13.3,48,72,18,11,9,0.03
0,13.35,52,77,9,4,9,0.02
0,13.4,52,78,10,4,9,0.04
0,13.466667,50,91,13,7,28,0.06
1,13.516667,50,92,18,10,18,0.7
0,13.566667,49,68,13,8,9,0
0,13.633333,50,75,13,9,9,0
1,13.683333,51,77,10,7,24,0
2,13.733333,48,81,17,10,9,0.02
0,13.8,48,73,12,8,9,0
0,13.85,50,65,8,5,9,0
0,13.9,52,73,8,4,9,0.01
0,13.95,48,94,10,6,9,0.2
1,14.016667,50,88,14,4,9,0.02
2,14.066667,46,91,9,5,9,0.21
1,14.116667,45,89,10,6,23,0.17
0,14.166667,49,75,18,6,9,0
1,14.216667,49,80,13,7,9,0.01
0,14.266667,52,68,16,6,22,0
2,14.316667,56,62,17,14,9,0
1,14.383333,54,78,14,6,9,0.02
0,14.433333,53,77,12,6,9,0
1,14.483333,56,75,8,4,9,0
0,14.533333,53,85,9,5,9,0
0,14.583333,49,79,15,9,26,0.01
1,14.633333,49,89,17,7,17,0.24
0,14.666667,48,77,14,7,16,0.09
1,14.716667,48,70,10,6,9,0.03
0,14.766667,47,73,14,8,9,0
1,14.816667,50,74,12,3,9,0
2,14.866667,52,77,12,4,9,0
0,14.916667,54,80,7,4,9,0
0,14.95,54,80,8,4,9,0
1,15,56,83,9,4,9,0
0,15.05,58,66,10,6,21,0
1,15.083333,52,76,17,11,23,0
1,15.133333,48,78,18,10,23,0.02
1,15.166667,46,77,18,12,9,0.35
0,15.216667,46,80,12,7,9,0.08
0,15.25,48,68,8,6,9,0
0,15.3,55,55,12,5,9,0
0,15.333333,52,85,9,5,9,0.06
1,15.366667,58,84,9,5,9,0.03
0,15.4,58,78,10,4,9,0.01
0,15.45,65,74,9,3,9,0
1,15.483333,60,83,14,6,9,0.01
0,15.516667,56,80,10,6,9,0.1
2,15.55,56,71,10,4,9,0.02
0,15.583333,64,65,12,5,17,0
2,15.6,62,67,15,9,9,0
0,15.633333,62,61,14,10,9,0
2,15.666667,61,68,12,8,9,0.05
1,15.7,60,67,12,7,9,0
0,15.716667,58,75,13,6,9,0
4,15.75,60,56,12,8,17,0
1,15.766667,62,57,15,9,17,0
1,15.8,67,50,15,9,9,0
2,15.816667,73,42,17,10,9,0
5,15.833333,77,35,12,7,9,0
3,15.85,76,51,7,3,20,0
2,15.883333,63,77,14,9,22,0
1,15.9,58,76,13,9,9,0
0,15.9,56,84,13,9,9,0.02
0,15.916667,58,80,10,6,20,0
1,15.933333,56,84,17,6,16,0
1,15.95,58,83,15,7,9,0.06
0,15.95,58,67,12,7,9,0
3,15.966667,61,59,10,4,9,0
1,15.966667,66,52,12,7,9,0
1,15.983333,72,53,10,7,9,0
1,15.983333,58,90,8,5,9,0.06
1,15.983333,56,75,13,6,9,0
0,15.983333,55,81,10,5,18,0.02
2,15.983333,56,81,14,9,9,0.22
1,15.983333,56,81,14,8,9,0.08
0,15.983333,57,78,9,7,9,0
0,15.983333,60,67,12,4,9,0
1,15.983333,65,60,12,6,9,0
0,15.966667,69,62,13,7,9,0
6,15.966667,68,51,12,7,17,0
1,15.95,74,42,13,7,22,0
2,15.95,67,56,14,9,22,0
2,15.933333,62,67,15,11,18,0.01
2,15.916667,60,60,13,8,9,0
0,15.9,61,54,13,7,9,0
0,15.883333,62,55,14,6,9,0
1,15.866667,64,60,13,8,9,0
0,15.85,63,72,7,5,9,0
1,15.833333,65,71,10,6,9,0
2,15.816667,60,75,10,6,9,0
0,15.8,62,67,16,10,9,0
3,15.766667,67,55,9,4,9,0
2,15.75,74,52,8,5,9,0
1,15.716667,68,70,10,6,21,0
2,15.7,68,74,16,6,9,0
3,15.666667,62,72,14,8,9,0.02
2,15.633333,67,69,10,5,9,0.04
0,15.6,68,65,10,7,9,0
0,15.583333,64,57,14,9,20,0
1,15.55,66,56,13,10,9,0
2,15.516667,68,48,12,7,9,0
3,15.483333,72,48,9,4,9,0
0,15.45,74,62,12,8,9,0
2,15.4,74,61,15,10,9,0
2,15.366667,74,57,14,9,9,0
0,15.333333,67,67,12,5,9,0
0,15.3,65,63,14,9,9,0
0,15.25,65,78,9,4,9,0
0,15.216667,66,71,9,7,9,0
0,15.166667,70,64,14,7,9,0
1,15.133333,74,57,13,7,9,0
0,15.083333,78,53,12,5,9,0
2,15.05,78,57,9,3,9,0
2,15,66,81,9,7,9,0
0,14.966667,63,79,13,5,9,0
1,14.916667,66,69,12,7,9,0
0,14.866667,61,84,12,7,9,0
1,14.816667,65,71,7,5,9,0
1,14.783333,64,85,12,6,9,0.05
0,14.733333,64,78,8,6,9,0
1,14.683333,66,71,9,3,9,0
1,14.633333,66,79,9,5,9,0
1,14.583333,65,91,7,4,9,0.14
0,14.533333,65,89,8,2,9,0.1
2,14.483333,65,86,13,4,9,0
1,14.433333,64,83,10,4,9,0
3,14.383333,66,78,12,6,18,0
1,14.333333,68,79,14,8,26,0
2,14.283333,66,84,17,8,9,0
0,14.233333,67,84,14,9,9,0
0,14.183333,72,76,15,5,20,0
0,14.133333,70,79,13,9,9,0
0,14.083333,67,70,9,5,9,0
0,14.033333,66,63,10,4,9,0
2,13.966667,70,50,12,7,9,0
0,13.916667,62,68,12,6,9,0
1,13.866667,60,58,12,6,9,0
1,13.816667,62,47,10,6,9,0
0,13.766667,70,48,10,6,9,0
2,13.7,66,73,14,8,9,0
0,13.65,64,69,10,4,9,0
0,13.6,65,64,13,9,9,0
1,13.55,68,61,14,6,9,0
0,13.483333,68,57,13,7,9,0
0,13.433333,67,59,14,9,9,0
0,13.383333,64,58,16,7,9,0
2,13.316667,72,52,14,9,9,0
0,13.266667,74,53,9,5,9,0
0,13.216667,74,58,8,2,9,0
1,13.15,70,62,7,3,9,0
2,13.1,65,72,14,6,9,0
3,13.05,62,87,13,8,9,0.22
0,12.983333,60,83,13,7,9,0
0,12.933333,60,77,14,7,20,0
1,12.883333,59,94,16,8,21,0.12
3,12.816667,60,97,17,11,9,0.14
0,12.766667,59,75,9,6,9,0
1,12.7,58,69,7,2,9,0
1,12.65,58,79,13,4,21,0
0,12.6,54,85,13,6,9,0
2,12.533333,54,92,12,8,9,0.09
0,12.483333,54,86,10,6,9,0.01
0,12.416667,58,83,10,7,9,0.02
1,12.366667,58,93,13,7,9,0.16
0,12.316667,56,84,13,6,9,0
1,12.25,59,78,12,9,9,0
0,12.2,64,77,17,6,9,0
2,12.133333,63,83,15,10,9,0
0,12.083333,63,82,10,7,9,0
0,12.033333,64,80,10,4,20,0
1,11.966667,64,81,16,10,9,0
0,11.916667,69,76,15,12,9,0
0,11.85,70,68,13,6,9,0
0,11.8,58,87,12,6,9,0
0,11.75,63,81,8,3,9,0
0,11.683333,62,90,8,5,9,0
0,11.633333,56,95,7,3,9,0.01
0,11.566667,55,92,7,3,9,0.01
0,11.516667,51,97,7,2,9,0.01
1,11.45,56,89,7,4,22,0
0,11.4,61,86,16,7,20,0.26
0,11.35,59,84,17,11,33,0
7,11.283333,56,81,23,12,18,0.27
0,11.233333,52,80,13,10,9,0.17
0,11.183333,52,78,13,8,24,0
1,11.116667,52,83,15,8,37,0.27
3,11.066667,52,86,25,17,9,0.41
1,11,54,81,16,7,9,0
0,10.95,52,77,14,8,28,0
0,10.9,48,88,18,7,38,0.35
8,10.833333,56,80,28,14,34,0.77
3,10.783333,63,74,24,13,9,0.4
1,10.733333,58,76,9,5,9,0
1,10.683333,60,81,14,8,22,0.11
3,10.616667,60,95,14,8,9,4.95
3,10.566667,60,94,13,5,25,0.3
1,10.516667,59,92,17,8,9,0.32
1,10.45,52,75,13,8,9,0
0,10.4,50,78,13,7,9,0
0,10.35,52,80,13,7,9,0
0,10.3,54,86,8,6,9,0
0,10.25,52,90,8,3,30,0
7,10.183333,52,79,21,13,23,0
1,10.133333,48,76,20,8,9,0.33
2,10.083333,44,40,14,10,9,0
1,10.033333,38,47,13,8,9,0
0,9.983333,36,67,8,5,9,0.11
1,9.933333,40,81,15,8,9,0.09
1,9.883333,38,67,9,6,20,0
0,9.833333,38,51,15,7,9,0
1,9.783333,39,45,13,9,9,0
1,9.733333,40,51,13,8,9,0
1,9.683333,42,59,13,6,9,0.01
0,9.633333,48,68,14,6,9,0
0,9.583333,50,72,12,6,30,0
0,9.533333,48,84,21,13,21,0.01
0,9.5,49,78,13,9,9,0
0,9.45,45,79,13,5,9,0
0,9.4,42,87,9,6,9,0
0,9.35,48,73,9,5,9,0
1,9.316667,47,86,14,8,36,0.26
2,9.266667,46,86,28,14,28,0.44
1,9.233333,48,81,22,15,36,0.73
6,9.183333,50,91,25,17,31,2.06
4,9.15,45,89,25,13,9,0.83
1,9.1,36,94,13,7,9,0.31
1,9.066667,34,89,12,4,9,0.18
0,9.033333,34,74,8,6,33,0
0,8.983333,40,93,21,7,22,0.38
0,8.95,41,78,17,11,32,0
3,8.916667,44,82,23,14,22,0.15
1,8.883333,42,81,16,11,9,0
0,8.85,42,70,17,6,25,0.02
0,8.816667,46,91,20,9,9,0.95
1,8.783333,44,94,13,6,23,0.18
0,8.75,39,91,17,13,9,0
1,8.716667,42,90,10,6,24,0.05
2,8.7,48,89,18,6,22,0.14
0,8.666667,41,82,15,6,45,0.05
22,8.65,44,61,29,19,31,0.14
2,8.616667,48,86,18,14,30,0.44
1,8.6,45,74,22,14,9,0.1
1,8.583333,42,86,9,5,9,0.18
0,8.55,41,93,7,1,9,0.04
0,8.533333,40,68,12,7,9,0
0,8.516667,41,85,12,8,9,0.21
1,8.5,42,87,13,6,26,0.27
0,8.483333,44,85,18,11,26,0.23
0,8.483333,44,88,18,9,32,0.46
0,8.466667,40,87,20,13,9,0.07
3,8.45,40,79,14,8,32,0.01
2,8.45,46,71,23,14,9,0.07
1,8.433333,44,76,10,6,23,0
0,8.433333,46,62,15,8,9,0
1,8.433333,46,74,15,6,9,0.14
0,8.416667,46,97,10,6,9,0.13
0,8.416667,46,92,8,3,9,0.01
0,8.416667,44,73,15,6,9,0
0,8.416667,47,58,18,11,23,0
0,8.433333,45,85,17,11,9,0.42
1,8.433333,40,86,15,12,9,0
0,8.433333,36,87,12,7,30,0
0,8.45,36,89,20,9,9,0.27
1,8.45,34,87,17,10,9,0
2,8.466667,34,73,18,14,9,0
0,8.483333,30,78,12,6,9,0.12
0,8.483333,34,94,10,5,9,0.19
0,8.5,34,90,13,5,9,0.27
0,8.516667,34,93,13,3,25,0.04
2,8.533333,30,80,17,11,9,0.02
0,8.566667,24,60,15,13,25,0
1,8.583333,24,40,16,12,26,0
5,8.6,26,81,21,14,9,0.39
37,8.616667,34,90,14,5,9,0.5
6,8.65,42,81,15,9,23,0.22
1,8.666667,48,77,18,7,9,0.15
2,8.7,42,98,9,5,9,0.11
1,8.733333,41,97,8,2,9,0
0,8.766667,40,92,10,5,9,0.15
0,8.783333,45,88,12,3,9,0.02
1,8.816667,48,97,10,4,9,0.64
1,8.85,47,96,15,7,9,0.06
0,8.883333,44,93,7,2,9,0
0,8.916667,40,96,6,3,9,0
1,8.966667,44,97,12,5,9,0.19
1,9,46,88,12,5,9,0
0,9.033333,40,93,10,5,9,0
0,9.066667,39,93,8,4,9,0
1,9.116667,39,90,8,4,9,0.05
1,9.15,44,98,7,3,26,0.65
0,9.2,40,84,22,7,9,0
0,9.233333,38,89,13,6,22,0
1,9.283333,42,84,17,13,22,0
0,9.316667,44,83,15,7,32,0
0,9.366667,46,92,20,13,30,0.46
4,9.416667,50,96,24,13,38,1.63
1,9.466667,42,80,25,17,23,0.17
1,9.5,40,87,16,10,9,0.29
0,9.55,40,83,10,8,23,0.01
0,9.6,42,63,18,11,9,0.14
3,9.65,44,81,9,5,9,0.05
0,9.7,41,89,13,7,9,0.07
0,9.75,38,78,16,5,18,0
2,9.8,44,83,17,10,9,0.24
0,9.85,42,88,10,7,9,0
0,9.9,40,88,12,5,9,0
1,9.95,37,93,9,6,9,0
1,10,39,87,13,7,9,0
0,10.05,48,57,20,10,9,0
0,10.116667,48,39,14,9,9,0
2,10.166667,46,59,13,7,9,0.05
0,10.216667,44,90,12,7,9,0.34
1,10.266667,46,76,15,9,29,0.2
1,10.316667,47,77,22,12,32,0.47
0,10.383333,46,74,21,9,26,0.19
0,10.433333,48,84,17,12,9,0.03
0,10.483333,46,83,9,6,9,0
0,10.55,42,90,13,7,9,0
0,10.6,44,74,14,7,21,0
0,10.65,53,39,15,10,9,0
0,10.7,48,68,8,4,33,0.03
0,10.766667,48,70,23,9,38,0.07
4,10.816667,46,60,30,13,9,0.05
1,10.883333,46,86,14,5,9,0.21
2,10.933333,46,87,8,4,9,0.17
0,10.983333,46,85,10,4,9,0.02
1,11.05,44,75,12,6,20,0
0,11.1,46,77,15,11,9,0
0,11.166667,42,80,9,3,26,0
1,11.216667,42,90,18,9,25,0.19
0,11.266667,44,84,18,12,30,0.07
0,11.333333,45,76,21,13,9,0.13
1,11.383333,44,72,14,7,9,0
1,11.45,50,92,13,6,9,0.25
0,11.5,54,84,8,4,17,0
1,11.566667,48,87,14,5,9,0.1
0,11.616667,46,85,13,6,9,0
1,11.666667,47,75,13,7,9,0
0,11.733333,44,82,13,6,9,0
0,11.783333,47,79,12,6,18,0
0,11.85,50,79,16,11,9,0
0,11.9,45,77,10,7,24,0
0,11.966667,47,78,16,9,9,0
0,12.016667,48,86,12,8,32,0.04
2,12.083333,42,79,23,13,25,0.12
0,12.133333,42,79,20,12,9,0.03
1,12.2,48,62,16,11,9,0
1,12.25,54,59,9,5,9,0
0,12.316667,56,72,8,4,9,0.03
0,12.366667,49,75,13,8,25,0.02
3,12.433333,47,84,20,10,22,0.43
1,12.483333,47,81,14,10,28,0.44
0,12.533333,46,80,20,10,29,0.14
0,12.6,48,83,21,9,9,0.02
0,12.65,50,66,12,5,24,0
4,12.716667,64,41,18,10,22,0
1,12.766667,47,83,17,9,9,0.07
0,12.833333,44,68,9,7,18,0
1,12.883333,46,71,12,7,9,0
0,12.933333,50,59,21,12,9,0
0,13,56,56,14,6,9,0
0,13.05,50,70,13,5,9,0
1,13.116667,51,74,7,4,9,0
0,13.166667,50,81,12,4,9,0
0,13.233333,52,72,9,6,9,0
1,13.283333,52,71,15,7,9,0
0,13.333333,56,64,14,6,9,0
0,13.4,59,56,13,6,9,0
0,13.45,62,52,14,5,9,0
1,13.5,54,75,12,8,24,0
0,13.566667,54,72,16,6,9,0
0,13.616667,50,85,14,6,21,0.16
1,13.666667,48,84,13,6,9,0.01
0,13.733333,50,81,14,6,9,0.05
0,13.783333,51,73,10,5,9,0.01
1,13.833333,50,73,9,6,21,0.04
0,13.883333,50,88,14,5,21,0.18
1,13.95,50,75,14,10,9,0.01
0,14,52,75,14,5,9,0
0,14.05,54,63,8,5,25,0
1,14.1,52,72,18,9,9,0.08
1,14.15,50,60,13,7,9,0
1,14.216667,57,58,15,11,9,0
4,14.266667,62,54,9,5,31,0
16,14.316667,52,75,23,7,9,0.11
5,14.366667,54,64,14,6,9,0
1,14.416667,58,52,12,4,9,0
1,14.466667,64,49,9,3,23,0
0,14.516667,65,46,16,7,9,0
1,14.566667,60,62,14,7,17,0
2,14.616667,60,65,10,6,18,0
1,14.666667,56,78,17,7,9,0
1,14.716667,52,67,9,6,9,0
1,14.766667,55,61,10,6,9,0
0,14.8,56,88,12,4,28,0.19
0,14.85,55,86,21,6,9,0.15
0,14.9,55,68,10,5,9,0
0,14.95,50,86,9,5,9,0.08
2,14.983333,52,87,8,6,9,0.09
3,15.033333,56,71,12,8,9,0
0,15.083333,56,64,9,5,9,0
2,15.116667,57,64,16,4,9,0
0,15.166667,52,77,13,7,9,0
0,15.2,56,76,8,5,9,0
1,15.25,61,66,15,9,24,0
2,15.283333,62,70,15,8,9,0
0,15.316667,58,67,12,7,9,0
1,15.366667,60,70,9,6,23,0
0,15.4,56,77,16,9,23,0
0,15.433333,54,86,16,12,9,0.05
0,15.466667,59,69,9,4,23,0
0,15.5,62,56,14,7,9,0
0,15.533333,61,68,15,7,20,0.13
0,15.566667,58,89,14,10,21,0.5
0,15.6,55,89,16,10,21,0.57
0,15.633333,54,86,14,7,23,0.71
0,15.666667,54,80,17,11,21,0
1,15.683333,57,82,17,10,9,0
0,15.716667,55,70,10,8,16,0
2,15.733333,57,67,12,5,17,0
0,15.766667,60,62,13,11,9,0
1,15.783333,66,56,12,7,9,0
2,15.816667,66,56,17,6,26,0
1,15.833333,58,83,17,10,9,0.13
0,15.85,56,79,14,11,9,0.1
1,15.866667,56,80,10,5,9,0.06
0,15.883333,62,71,14,5,18,0.15
1,15.9,60,83,14,6,29,0.08
2,15.916667,56,79,21,13,9,0.01
1,15.933333,54,74,10,7,9,0.03
3,15.95,54,80,12,6,21,0.13
0,15.95,58,82,18,10,18,0.09
0,15.966667,56,70,15,9,9,0.03
2,15.966667,59,60,15,11,9,0
3,15.983333,65,51,15,9,23,0
0,15.983333,72,43,18,9,26,0
4,15.983333,78,32,21,11,30,0
4,15.983333,72,38,17,6,9,0
4,15.983333,72,40,10,6,9,0
3,15.983333,73,47,9,3,9,0
1,15.983333,64,79,10,7,9,0
0,15.983333,62,75,9,6,9,0
1,15.983333,60,79,9,4,9,0
1,15.966667,64,67,12,6,9,0
2,15.966667,65,61,8,4,9,0
2,15.95,65,63,17,6,18,0
3,15.95,67,53,13,8,9,0
1,15.933333,67,55,10,5,9,0
4,15.916667,65,69,8,5,9,0
0,15.916667,62,83,10,6,9,0
0,15.9,61,75,10,7,9,0
1,15.883333,63,77,9,5,9,0
2,15.866667,64,67,9,6,9,0
2,15.833333,68,64,12,8,9,0
2,15.816667,62,87,16,7,9,0.01
1,15.8,61,67,15,8,9,0.01
0,15.783333,62,68,13,7,9,0
0,15.75,62,76,9,6,20,0.02
4,15.733333,62,80,16,5,9,0.12
2,15.7,62,72,14,6,21,0
0,15.666667,68,59,16,10,9,0
0,15.65,70,64,14,5,9,0
1,15.616667,68,70,9,4,9,0
2,15.583333,65,74,12,7,9,0
0,15.55,69,74,9,5,9,0
1,15.516667,72,57,10,8,9,0
0,15.483333,72,63,9,6,9,0
1,15.45,69,68,14,7,9,0
0,15.416667,69,65,13,8,9,0
0,15.383333,69,59,15,9,9,0
1,15.333333,75,52,16,11,20,0
1,15.3,82,41,18,9,9,0
