Total_outages,Day_length_hr,Avg_Temp_F,Avg_humidity_percent,Max_windspeed_mph,Avg_windspeed_mph,Max_windgust_mph,Precipitation_in
0,10.466667,44,86,13,5,9,0.07
0,10.533333,43,81,13,7,9,0
0,10.583333,45,69,8,5,9,0
1,10.633333,48,80,8,3,9,0.13
0,10.7,44,92,14,5,9,0
0,10.75,41,91,12,4,9,0
0,10.8,42,85,8,4,9,0
0,10.866667,42,77,12,7,9,0
2,10.916667,39,79,14,6,9,0
0,10.966667,44,68,12,7,9,0
0,11.033333,42,69,15,4,34,0
2,11.083333,40,85,25,8,26,0.23
1,11.15,40,87,15,11,9,0
0,11.2,38,72,10,5,23,0
1,11.25,44,62,16,9,9,0
1,11.316667,50,72,10,7,9,0
0,11.366667,52,76,13,9,9,0
0,11.433333,52,71,14,4,22,0.07
0,11.483333,46,86,17,10,9,0.13
1,11.55,46,89,10,4,9,0.04
0,11.6,44,81,12,6,9,0
1,11.666667,44,85,8,5,20,0
0,11.716667,46,87,15,7,33,0
0,11.766667,45,86,22,13,9,0.13
3,11.833333,43,81,12,5,9,0
0,11.883333,42,93,13,7,9,0.32
2,11.95,40,87,13,7,9,0
1,12,44,83,9,3,28,0.01
1,12.066667,48,96,18,9,25,0.58
0,12.116667,44,76,18,11,9,0.01
0,12.183333,46,75,16,7,9,0
0,12.233333,44,67,14,10,9,0
1,12.3,45,72,9,6,9,0
0,12.35,48,68,10,7,21,0
0,12.416667,52,80,16,5,23,0.2
2,12.466667,48,87,15,10,22,0.26
0,12.516667,44,85,15,8,23,0.16
0,12.583333,42,92,17,8,24,0.41
0,12.633333,45,88,17,12,26,0.02
0,12.7,44,86,18,8,9,0
1,12.75,46,85,12,5,36,0.07
3,12.816667,48,88,25,9,9,0.09
1,12.866667,42,73,12,8,9,0.19
1,12.933333,40,90,13,4,9,0.33
0,12.983333,40,87,7,4,9,0
0,13.033333,48,67,8,6,24,0
0,13.1,44,83,18,7,22,0.2
0,13.15,42,84,17,12,9,0.06
0,13.216667,42,82,14,6,9,0
1,13.266667,44,83,8,5,21,0
1,13.316667,44,76,16,9,20,0
0,13.383333,40,96,13,9,23,0.78
0,13.433333,46,57,16,10,26,0
3,13.483333,42,76,15,10,9,0.06
0,13.55,42,73,13,9,9,0
0,13.6,44,69,13,6,9,0
1,13.65,52,58,13,7,22,0
4,13.716667,54,65,15,5,9,0.16
1,13.766667,49,88,13,9,9,0.3
1,13.816667,49,84,10,6,9,0.11
0,13.866667,48,75,9,4,17,0
1,13.933333,51,74,14,7,20,0
1,13.983333,51,74,16,7,9,0
0,14.033333,48,81,12,9,9,0.04
0,14.083333,52,88,9,6,9,0.04
3,14.133333,60,74,10,5,9,0
4,14.2,60,78,12,5,9,0
0,14.25,56,80,15,6,9,0
1,14.3,50,86,10,6,28,0.03
2,14.35,47,87,16,10,29,0.13
1,14.4,48,87,23,12,34,0.18
1,14.45,48,89,23,12,26,0.57
0,14.5,48,80,20,12,9,0.01
1,14.55,49,73,8,5,9,0
0,14.6,49,72,8,4,24,0
0,14.65,51,82,18,4,24,0.08
0,14.7,48,72,16,11,9,0.01
0,14.75,50,60,9,7,9,0
0,14.8,56,60,10,3,9,0
0,14.833333,52,83,15,5,9,0
0,14.883333,50,71,9,3,9,0
0,14.933333,52,71,9,4,9,0
1,14.983333,57,66,10,8,9,0
1,15.016667,57,78,10,4,17,0
0,15.066667,56,87,9,7,20,0.06
2,15.1,50,96,17,9,33,0.54
2,15.15,52,92,18,9,29,0.56
1,15.183333,52,80,21,15,9,0.01
0,15.233333,49,81,7,3,9,0
1,15.266667,53,80,8,5,9,0
3,15.316667,52,82,17,8,9,0
2,15.35,54,63,13,8,9,0
1,15.383333,60,60,13,6,9,0
8,15.416667,68,58,13,8,9,0
4,15.466667,72,62,10,5,9,0.04
1,15.5,60,76,8,4,9,0
1,15.533333,62,63,9,5,9,0
0,15.566667,63,56,13,6,9,0
2,15.6,58,67,14,5,24,0
2,15.616667,51,78,17,9,9,0.12
0,15.65,52,65,10,6,9,0
1,15.683333,58,66,9,4,9,0
1,15.7,67,66,8,3,30,0
2,15.733333,54,81,16,7,23,0.18
1,15.766667,50,85,15,9,9,0.48
1,15.783333,50,77,12,6,9,0.01
0,15.8,52,73,9,4,9,0
0,15.833333,54,85,8,5,9,0.05
1,15.85,57,78,12,7,9,0.03
0,15.866667,62,64,7,4,9,0
1,15.883333,64,68,7,4,23,0.09
0,15.9,55,75,16,9,17,0.11
0,15.916667,52,81,10,7,18,0.03
1,15.933333,50,92,15,6,9,1.08
1,15.933333,51,84,10,7,9,0.06
0,15.95,56,78,7,3,9,0
0,15.966667,54,78,9,4,9,0
0,15.966667,56,71,12,5,9,0
0,15.983333,56,71,14,8,9,0
1,15.983333,56,71,13,7,9,0
2,15.983333,58,68,12,6,9,0
1,15.983333,64,63,14,8,9,0
2,15.983333,66,58,12,4,9,0
1,15.983333,65,68,8,4,9,0
1,15.983333,58,81,12,6,9,0
1,15.983333,56,72,8,5,20,0
0,15.983333,53,85,15,6,9,0.16
1,15.983333,58,72,10,8,9,0
0,15.966667,64,65,10,7,9,0.01
2,15.966667,60,96,12,3,22,0.61
1,15.95,60,74,15,10,9,0
0,15.933333,60,64,14,8,9,0
0,15.933333,60,69,10,4,9,0
0,15.916667,61,67,12,6,9,0
0,15.9,64,56,14,6,9,0
2,15.883333,68,55,16,7,9,0
0,15.866667,66,73,8,3,9,0
1,15.85,60,70,9,6,9,0
2,15.833333,60,72,10,7,9,0
0,15.8,62,73,7,3,9,0
2,15.783333,66,62,9,6,9,0
1,15.75,69,59,14,8,9,0
0,15.733333,66,73,8,5,9,0
1,15.7,65,68,8,4,9,0
2,15.683333,63,73,7,3,9,0
0,15.65,58,80,8,5,9,0
2,15.616667,60,77,12,6,9,0
1,15.583333,55,87,10,6,20,0.1
3,15.566667,58,86,15,7,9,0.66
1,15.533333,58,80,13,8,9,0
1,15.5,60,79,9,5,9,0
2,15.466667,64,71,13,8,9,0
0,15.416667,64,75,8,4,9,0
0,15.383333,59,87,10,6,9,0.01
1,15.35,63,81,8,4,9,0
0,15.316667,64,80,7,3,9,0
0,15.266667,64,88,8,3,9,0.01
1,15.233333,65,73,8,3,9,0.01
1,15.2,62,85,9,4,22,0
0,15.15,60,84,15,8,28,0.04
2,15.116667,59,86,17,11,9,0.21
1,15.066667,60,75,9,6,9,0
1,15.033333,61,74,13,7,9,0
2,14.983333,58,72,9,6,9,0
1,14.933333,60,76,10,4,9,0
0,14.9,65,83,10,6,9,0.07
1,14.85,62,89,8,6,9,0.05
0,14.8,60,77,10,6,9,0
2,14.75,64,76,7,2,9,0
2,14.7,66,78,10,4,20,0
0,14.666667,66,61,13,10,21,0
2,14.616667,68,61,16,10,9,0
4,14.566667,74,52,12,8,9,0
0,14.516667,74,56,7,3,9,0
0,14.466667,68,79,8,5,9,0
0,14.416667,70,68,12,3,9,0
0,14.366667,65,84,8,4,9,0.02
2,14.316667,65,85,10,2,9,0
1,14.266667,63,88,8,3,9,0
0,14.216667,60,82,9,6,9,0
0,14.166667,62,75,8,4,9,0
2,14.1,62,75,14,4,9,0
0,14.05,62,65,13,6,9,0
0,14,61,66,12,7,9,0
0,13.95,60,91,13,6,22,0.54
3,13.9,60,93,13,8,9,1.46
1,13.833333,58,88,12,7,9,0.2
0,13.783333,62,74,7,5,9,0
1,13.733333,64,69,10,3,9,0
0,13.683333,66,67,7,2,9,0
0,13.633333,63,77,9,4,16,0
1,13.566667,66,74,10,5,9,0
0,13.516667,66,76,10,6,9,0
0,13.466667,64,85,13,5,20,0
2,13.4,64,73,13,10,21,0
3,13.35,62,77,14,9,9,0.03
0,13.3,62,68,12,6,9,0
0,13.233333,60,75,10,6,9,0.03
2,13.183333,60,68,12,6,9,0
2,13.133333,57,70,10,6,9,0
1,13.066667,54,79,9,5,9,0
0,13.016667,60,74,13,5,9,0
0,12.966667,62,68,9,5,16,0
0,12.9,62,67,13,7,9,0
0,12.85,62,66,8,3,9,0
1,12.8,63,67,8,6,17,0
0,12.733333,64,68,10,4,9,0
1,12.683333,65,71,8,4,9,0
0,12.616667,65,73,7,2,9,0
0,12.566667,64,77,7,3,9,0
0,12.516667,54,95,7,3,9,0
1,12.45,54,92,6,2,9,0.02
0,12.4,58,87,15,1,9,0.04
0,12.333333,58,75,13,7,9,0
1,12.283333,57,77,8,5,9,0
0,12.216667,59,75,8,5,9,0.05
1,12.166667,66,82,7,1,9,0.01
0,12.116667,63,82,6,2,9,0
0,12.05,58,97,9,4,9,0.01
0,12,58,96,12,4,26,0.36
0,11.933333,56,91,17,9,9,0.3
0,11.883333,51,87,8,4,9,0
1,11.833333,55,72,10,4,9,0
0,11.766667,60,69,12,5,9,0
0,11.716667,58,87,17,11,9,0
0,11.65,60,83,13,7,9,0
0,11.6,57,81,9,3,17,0
0,11.55,54,79,15,9,9,0
3,11.483333,60,56,20,14,9,0
0,11.433333,61,48,13,5,9,0
0,11.366667,56,78,15,7,9,0.02
1,11.316667,52,84,13,6,9,0.02
0,11.266667,52,83,12,8,9,0.01
1,11.2,52,80,8,5,24,0
0,11.15,48,91,17,8,9,0.3
0,11.1,50,76,12,7,34,0
9,11.033333,52,85,29,14,21,0.04
0,10.983333,51,81,15,8,26,0.04
0,10.916667,52,94,21,10,9,0.04
0,10.866667,52,93,9,6,17,0
2,10.816667,50,90,13,7,9,0.15
2,10.766667,48,81,10,5,24,0
0,10.7,48,86,17,7,9,0
1,10.65,52,86,17,12,9,0.05
0,10.6,46,92,10,6,26,0
0,10.533333,48,93,18,10,37,0.18
2,10.483333,50,86,26,14,37,0.16
5,10.433333,50,71,23,17,9,0.01
1,10.383333,45,90,16,10,9,0.36
0,10.316667,50,91,10,4,21,0.17
0,10.266667,52,90,14,6,9,0.38
0,10.216667,42,94,16,8,9,0.44
0,10.166667,40,87,7,4,9,0
0,10.116667,44,89,6,1,25,0.01
2,10.066667,50,95,18,7,24,0.26
